City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Flinders,AU,-34.5833,150.8552,73.0,82,1,1.01,clear sky
294,Worland,US,44.0169,-107.9554,23.0,86,90,4.61,overcast clouds
295,Severo-Kurilsk,RU,50.6789,156.125,20.59,85,100,6.38,overcast clouds
296,Tzaneen,ZA,-23.8332,30.1635,84.2,23,0,5.75,clear sky
297,Buraydah,SA,26.326,43.975,55.4,24,0,9.22,clear sky
298,Hereford,GB,52.0568,-2.7148,43.0,82,11,1.99,few clouds
299,Lodhran,PK,29.5405,71.6336,65.7,28,55,6.69,broken clouds
300,Westport,US,41.1415,-73.3579,42.01,60,1,6.91,clear sky
301,Abatskoye,RU,56.2875,70.4555,-19.12,88,53,4.97,broken clouds
302,Taunggyi,MM,20.7833,97.0333,51.15,80,0,0.43,clear sky
303,Malokakhovka,UA,46.7814,33.4479,42.22,90,100,11.21,overcast clouds
304,Samarai,PG,-10.6167,150.6667,82.27,78,99,7.94,light rain
305,Chernoyerkovskaya,RU,45.4331,37.7686,46.4,71,75,20.13,broken clouds
306,Prince Rupert,CA,54.3161,-130.3201,33.8,93,1,4.61,clear sky
307,Robertsonpet,IN,12.9667,78.2833,77.0,61,20,3.44,few clouds
308,Artyom,AZ,40.4723,50.333,39.2,70,0,9.22,clear sky
309,Sidney,AU,-33.8679,151.2073,75.99,73,0,5.75,clear sky
310,Nipawin,CA,53.3668,-104.0009,5.0,72,90,8.05,light snow
311,Vostok,RU,46.4856,135.8833,-10.75,89,4,4.7,clear sky
312,Tarbes,FR,43.25,0.1667,41.0,87,75,17.27,light rain and snow
313,Vila Franca Do Campo,PT,37.7167,-25.4333,64.0,94,75,11.5,light rain
314,Moscow,RU,55.7522,37.6156,30.2,93,90,8.95,mist
315,Taitung,TW,22.7583,121.1444,70.95,81,57,4.74,broken clouds
316,Oussouye,SN,12.485,-16.5469,91.4,21,0,11.5,clear sky
317,Tymovskoye,RU,50.8456,142.655,-12.39,85,91,0.51,overcast clouds
318,Sayyan,YE,15.1718,44.3244,55.4,36,78,6.53,broken clouds
319,La Romana,DO,18.4273,-68.9728,77.0,88,20,5.75,few clouds
320,Itaituba,BR,-4.2761,-55.9836,78.8,83,40,3.44,light rain
321,Churapcha,RU,62.0025,132.4325,-57.33,55,55,2.3,broken clouds
322,Contamana,PE,-7.3333,-75.0167,89.06,47,95,3.36,overcast clouds
323,Aksu,CN,41.1231,80.2644,27.34,81,100,3.15,overcast clouds
324,Vredendal,ZA,-31.6683,18.5012,90.81,31,0,21.63,clear sky
325,Mugla,TR,37.2303,28.3557,53.6,82,75,1.14,broken clouds
326,Gold Coast,AU,-28.0,153.4333,71.01,88,71,6.91,light rain
327,Torrington,US,41.8007,-73.1212,37.99,78,0,3.0,clear sky
328,Sacama,EC,-3.9,-79.2667,66.2,88,75,2.3,moderate rain
329,Valparaiso,CL,-33.0393,-71.6273,62.01,100,90,5.75,light intensity drizzle
330,Izhma,RU,65.0083,53.9113,-18.9,88,83,0.69,broken clouds
331,Riwaka,NZ,-41.0833,173.0,59.0,59,78,1.01,broken clouds
332,Semey,KZ,50.4111,80.2275,-0.4,85,75,15.66,snow
333,Kuah,MY,6.3265,99.8432,80.6,74,20,4.61,few clouds
334,Diffa,NE,13.3154,12.6113,81.63,15,1,14.36,clear sky
335,Saint Charles,US,38.7667,-90.7335,28.99,47,83,1.99,broken clouds
336,Kolobovo,RU,56.702,41.3417,16.99,97,100,8.63,snow
337,Port Lincoln,AU,-34.7333,135.8667,68.07,65,0,12.48,clear sky
338,Tulsipur,NP,28.131,82.2973,51.64,73,0,3.24,clear sky
339,Morwell,AU,-38.2333,146.4,57.99,88,63,1.99,broken clouds
340,Pokhara,NP,28.2333,83.9833,51.06,72,18,2.93,few clouds
341,Palmer,US,42.1584,-72.3287,35.01,59,45,1.01,scattered clouds
342,Imbituba,BR,-28.24,-48.6703,71.6,94,75,4.61,moderate rain
343,Svecha,RU,58.2785,47.5164,-12.1,89,65,5.48,broken clouds
344,Olafsvik,IS,64.8945,-23.7142,28.56,90,25,29.1,scattered clouds
345,Aktas,KZ,49.7789,72.9608,-7.6,77,40,17.9,scattered clouds
346,Constitucion,CL,-35.3333,-72.4167,71.29,57,2,3.8,clear sky
