City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Dvinskoy,RU,2021-01-19 17:47:13,62.1535,45.1175,9.72,96,98,4.32
263,Saint-Cyr-Sur-Loire,FR,2021-01-19 17:47:13,47.4,0.6667,46.4,76,0,9.22
264,Katsuura,JP,2021-01-19 17:47:13,35.1333,140.3,35.01,29,18,8.99
265,Ribeira Grande,PT,2021-01-19 17:47:13,38.5167,-28.7,60.8,63,20,24.16
266,Grindavik,IS,2021-01-19 17:47:13,63.8424,-22.4338,33.8,86,75,21.85
267,Vao,NC,2021-01-19 17:47:14,-22.6667,167.4833,78.69,85,72,5.53
268,Severo-Yeniseyskiy,RU,2021-01-19 17:47:14,60.3725,93.0408,-19.3,89,100,2.46
269,Ponta Do Sol,PT,2021-01-19 17:45:12,32.6667,-17.1,60.01,64,100,7.0
270,Areia Branca,BR,2021-01-19 17:47:14,-4.9561,-37.1369,89.6,58,75,17.27
271,Denpasar,ID,2021-01-19 17:46:36,-8.65,115.2167,80.6,89,40,1.14
272,Kangaatsiaq,GL,2021-01-19 17:47:14,68.3065,-53.4641,19.9,87,100,10.83
273,Solnechnyy,RU,2021-01-19 17:47:14,50.7214,136.6319,-15.77,79,0,2.89
274,Constitucion,CL,2021-01-19 17:47:14,-35.3333,-72.4167,69.33,64,8,6.89
275,Santa Cruz,BO,2021-01-19 17:42:36,-17.8,-63.1667,82.4,39,40,14.97
276,Savannah Bight,HN,2021-01-19 17:47:15,16.45,-85.85,84.2,65,20,3.44
277,Atamanovka,RU,2021-01-19 17:47:15,51.93,113.63,-9.4,77,55,0.69
278,Vredendal,ZA,2021-01-19 17:47:15,-31.6683,18.5012,71.62,51,0,22.55
279,Adrar,MR,2021-01-19 17:47:15,20.5022,-10.0711,69.46,19,5,10.65
280,Cabo San Lucas,MX,2021-01-19 17:44:55,22.8909,-109.9124,71.01,77,90,11.5
281,Marawi,PH,2021-01-19 17:47:15,7.9986,124.2928,73.99,96,100,1.01
282,Madawaska,US,2021-01-19 17:47:15,47.3561,-68.3288,12.2,57,85,9.22
283,Bauchi,NG,2021-01-19 17:47:15,10.5,10.0,72.73,21,26,4.25
284,Berlevag,NO,2021-01-19 17:47:15,70.8578,29.0864,26.6,74,75,21.85
285,Saint-Georges,GD,2021-01-19 17:47:16,12.0564,-61.7485,86.0,66,20,23.02
286,Bayji,IQ,2021-01-19 17:47:16,34.9311,43.487,57.22,46,25,12.97
287,Blagoyevo,RU,2021-01-19 17:47:16,63.3667,47.9167,9.25,95,100,7.49
288,Golkoy,TR,2021-01-19 17:47:16,40.6875,37.6178,35.6,51,40,8.05
289,Guerrero Negro,MX,2021-01-19 17:47:16,27.9769,-114.0611,66.6,62,69,17.85
290,Milkovo,RU,2021-01-19 17:47:16,54.7167,158.6167,8.92,95,100,2.26
291,Pitimbu,BR,2021-01-19 17:47:16,-7.4706,-34.8086,86.0,66,75,12.66
292,Bonavista,CA,2021-01-19 17:47:17,48.6499,-53.1147,39.0,81,100,2.3
